"category_id","category_name","bisac"
"21792305-289a-452e-b27a-d1e56fb25a3f","Adult Nonfiction / Law","LAW000000"
"30e035f8-4318-11e4-a363-123139204b7d","Adult Fiction / General Fiction","FIC000000"
"30f284d6-4318-11e4-a363-123139204b7d","Adult Nonfiction / History","HIS000000"
"3103d8db-4318-11e4-a363-123139204b7d","Adult Nonfiction / Religion","REL000000"
"31177831-4318-11e4-a363-123139204b7d","Adult Nonfiction / Philosophy","PHI000000"
"312ca042-4318-11e4-a363-123139204b7d","Children's Nonfiction","JNF000000"
"313de7ed-4318-11e4-a363-123139204b7d","Children's Fiction","JUV000000"
"31536a8f-4318-11e4-a363-123139204b7d","Adult Fiction / Poetry","POE000000"
"3164bc70-4318-11e4-a363-123139204b7d","Adult Nonfiction / Reference","REF000000"
"3187ef32-4318-11e4-a363-123139204b7d","Adult Nonfiction / Technology","TEC000000"
"31add5e5-4318-11e4-a363-123139204b7d","Adult Nonfiction / Travel","TRV000000"
"31c42cf0-4318-11e4-a363-123139204b7d","Adult Nonfiction / Biography","BIO000000"
"320f2cc4-4318-11e4-a363-123139204b7d","Adult Nonfiction / Music","MUS000000"
"32249297-4318-11e4-a363-123139204b7d","Adult Nonfiction / Politics","POL000000"
"325827dc-4318-11e4-a363-123139204b7d","Adult Nonfiction / Education","EDU000000"
"3293389e-4318-11e4-a363-123139204b7d","Adult Nonfiction / Nature","NAT000000"
"32a622cb-4318-11e4-a363-123139204b7d","Adult Fiction / Humor","FIC016000"
"32c9f305-4318-11e4-a363-123139204b7d","Adult Nonfiction / Business & Economics","BUS000000"
"32dbeb28-4318-11e4-a363-123139204b7d","Adult Nonfiction / Cooking & Cookbooks","CKB000000"
"32edd10d-4318-11e4-a363-123139204b7d","Adult Nonfiction / Art","ART000000"
"32ff034e-4318-11e4-a363-123139204b7d","Adult Nonfiction / Body, Mind & Spirit","OCC000000"
"3311b09a-4318-11e4-a363-123139204b7d","Adult Nonfiction / Health & Fitness","HEA000000"
"337fcc59-4318-11e4-a363-123139204b7d","Adult Nonfiction / House & Home","HOM000000"
"33a25a0a-4318-11e4-a363-123139204b7d","Adult Nonfiction / Self-Help","SEL000000"
"33c6d4ae-4318-11e4-a363-123139204b7d","Adult Nonfiction / Medical","MED000000"
"33eb9944-4318-11e4-a363-123139204b7d","Adult Fiction / Comics & Graphic Novels","CGN000000"
"341f5cb6-4318-11e4-a363-123139204b7d","Adult Nonfiction / Family & Relationships","FAM000000"
"3443f859-4318-11e4-a363-123139204b7d","Adult Nonfiction / Sports & Recreation","SPO000000"
"34669d95-4318-11e4-a363-123139204b7d","Adult Nonfiction / True Crime","TRU000000"
"59b6975a-b061-4251-a5cf-33ee2e323e17","Adult Nonfiction / Mathematics","MAT000000"
"73e3f017-3eb4-4132-aedd-c9623c3a9d93","Adult Nonfiction / Psychology","PSY000000"
"7fd804d9-36b1-437b-99ec-89c48c0b2c37","Adult Nonfiction / Language Arts & Disciplines","LAN000000"
"bb381d90-6c51-4a0f-8d27-774e31b5e378","Adult Nonfiction / Science","SCI000000"
